po_number,item,supplier_name,order_dt,delivery_dt,qty_ordered,status
PO5000,SKU155,Global Supplies,2023/11/20,2023-12-03,3486,Delivered
PO5001,SKU156,Global Supplies,2023/08/04,2023-08-30,1482,Delayed
PO5002,SKU109,FreshSource Ltd,2023/06/10,2023-07-09,1447,Cancelled
PO5003,SKU155,Prime Wholesale,2022/11/10,2022-11-28,1798,Delayed
PO5004,Milk 500ml,ABC Traders,2023/11/23,2023-11-26,1688,In Transit
PO5005,Tea 250g,Om Distributors,2022/02/12,2022-03-02,1730,Cancelled
PO5006,Sunflower Oil 2L,Global Supplies,2022/04/30,2022-05-18,4739,Delayed
PO5007,Coffee 200g,Global Supplies,2022/07/09,2022-07-12,2320,In Transit
PO5008,SKU143,Om Distributors,2023/08/31,2023-09-27,3926,Delayed
PO5009,SKU131,ABC Traders,2022/02/24,2022-03-06,2375,Cancelled
PO5010,Milk 1L,Om Distributors,2024/09/09,2024-09-26,3566,Pending
PO5011,Biscuits 500g,Om Distributors,2024/01/09,2024-01-22,1563,Pending
PO5012,SKU149,FreshSource Ltd,2024/09/20,,2760,Cancelled
PO5013,SKU159,Om Distributors,2024/05/29,2024-06-04,3993,Pending
PO5014,SKU103,ABC Traders,2023/11/05,2023-12-02,1038,In Transit
PO5015,Sunflower Oil 5L,ABC Traders,2022/01/26,2022-01-30,2472,Cancelled
PO5016,SKU116,Global Supplies,2022/01/24,2022-02-19,3944,Delivered
PO5017,Sunflower Oil 1L,ABC Traders,2024/02/22,2024-03-05,2931,Delayed
PO5018,SKU137,Prime Wholesale,2023/10/26,,1387,Delivered
PO5019,SKU117,Global Supplies,2024/07/30,2024-08-17,3383,Delayed
PO5020,Milk 500ml,Prime Wholesale,2023/02/18,2023-03-14,1373,In Transit
PO5021,SKU119,ABC Traders,2023/06/29,,1383,Cancelled
PO5022,Coffee 200g,Om Distributors,2023/01/17,2023-02-09,3194,Pending
PO5023,Biscuits 200g,Om Distributors,2023/02/17,2023-02-27,3555,Pending
PO5024,SKU138,Om Distributors,2022/03/16,2022-03-20,2212,Pending
PO5025,SKU147,Global Supplies,2022/02/17,2022-03-14,2103,Delayed
PO5026,SKU100,Global Supplies,2022/12/31,2023-01-15,703,Pending
PO5027,Biscuits 200g,Om Distributors,2022/01/02,,665,In Transit
PO5028,Detergent 500g,Global Supplies,2023/07/23,,4289,Pending
