sku,product,category,brand
SKU100,Coffee 200g,Snacks,BrewMaster
SKU101,Milk 500ml,Dairy,BrewMaster
SKU102,Biscuits 100g,Spreads,DailyFresh
SKU103,Biscuits 200g,Spreads,BrewMaster
SKU104,Detergent 500g,Snacks,BrewMaster
SKU105,Detergent 2kg,Beverages,SnackHub
SKU106,Milk 1L,Snacks,BrewMaster
SKU107,Sunflower Oil 2L,Snacks,SnackHub
SKU108,Sunflower Oil 1L,Snacks,CleanPro
SKU109,Detergent 500g,Dairy,TeaTime
SKU110,Peanut Butter Smooth 200g,Spreads,NutDelight
SKU111,Milk 500ml,Dairy,TeaTime
SKU112,Milk 1L,Snacks,TeaTime
SKU113,Coffee 200g,Home Care,NutDelight
SKU114,Biscuits 100g,Spreads,NutDelight
SKU115,Milk 1L,Spreads,DailyFresh
SKU116,Sunflower Oil 2L,Spreads,BrewMaster
SKU117,Sunflower Oil 1L,Home Care,TeaTime
SKU118,Biscuits 200g,Beverages,Sunfresh
SKU119,Detergent 1kg,Edible Oil,NutDelight
SKU120,Peanut Butter Crunchy 1kg,Spreads,NutDelight
SKU121,Tea 500g,Beverages,TeaTime
SKU122,Peanut Butter Smooth 1kg,Dairy,NutDelight
SKU123,Biscuits 500g,Edible Oil,BrewMaster
SKU124,Milk 1L,Snacks,TeaTime
SKU125,Sunflower Oil 5L,Dairy,Sunfresh
SKU126,Peanut Butter Crunchy 200g,Dairy,DailyFresh
SKU127,Detergent 500g,Home Care,NutDelight
SKU128,Sunflower Oil 2L,Snacks,TeaTime
SKU129,Milk 1L,Spreads,BrewMaster
SKU130,Peanut Butter Crunchy 1kg,Home Care,NutDelight
SKU131,Milk 1L,Snacks,NutDelight
SKU132,Detergent 500g,Edible Oil,Sunfresh
SKU133,Biscuits 100g,Dairy,NutDelight
SKU134,Sunflower Oil 2L,Dairy,CleanPro
SKU135,Sunflower Oil 5L,Snacks,NutDelight
SKU136,Tea 500g,Beverages,SnackHub
SKU137,Tea 250g,Snacks,SnackHub
SKU138,Milk 500ml,Edible Oil,BrewMaster
SKU139,Milk 500ml,Snacks,SnackHub
SKU140,Peanut Butter Crunchy 500g,Dairy,CleanPro
SKU141,Milk 1L,Edible Oil,NutDelight
SKU142,Sunflower Oil 5L,Beverages,BrewMaster
SKU143,Peanut Butter Smooth 200g,Edible Oil,Sunfresh
SKU144,Biscuits 100g,Home Care,CleanPro
SKU145,Detergent 2kg,Beverages,CleanPro
SKU146,Tea 250g,Beverages,TeaTime
SKU147,Biscuits 200g,Dairy,NutDelight
SKU148,Detergent 1kg,Spreads,SnackHub
SKU149,Biscuits 500g,Dairy,SnackHub
SKU150,Milk 500ml,Spreads,Sunfresh
SKU151,Coffee 200g,Home Care,CleanPro
SKU152,Detergent 500g,Edible Oil,CleanPro
SKU153,Milk 500ml,Spreads,BrewMaster
SKU154,Tea 250g,Spreads,BrewMaster
SKU155,Peanut Butter Smooth 1kg,Beverages,SnackHub
SKU156,Milk 500ml,Spreads,NutDelight
SKU157,Biscuits 500g,Dairy,BrewMaster
SKU158,Coffee 200g,Beverages,NutDelight
SKU159,Tea 500g,Dairy,DailyFresh
