order_id,date,product_name,region,warehouse,quantity,price
ORD10000,2023-02-20,Peanut Butter Crunchy 1kg,Karnataka,WH-JAI,110.0,209.72
ORD10001,2024-06-26,Biscuits 200g,Gujarat,WH-BLR,46.0,349.91
ORD10002,2024-04-16,Milk 500ml,Rajasthan,WH-JAI,60.0,735.12
ORD10003,2022-02-16,Biscuits 500g,Madhya Pradesh,WH-DEL,72.0,308.2
ORD10004,08/07/23,Biscuits 500g,Maharashtra,WH-RAI,,770.25
ORD10005,2023-06-18,Peanut Butter Smooth 200g,Chhattisgarh,WH-DEL,60.0,433.64
ORD10006,2022-07-11,Detergent 2kg,Madhya Pradesh,WH-RAI,59.0,533.14
ORD10007,2024-07-14,Tea 500g,Gujarat,WH-RAI,7.0,114.88
ORD10008,14/06/23,Sunflower Oil 5L,Karnataka,WH-IND,90.0,700.36
ORD10009,2024-06-23,Biscuits 100g,Chhattisgarh,WH-BLR,78.0,353.11
ORD10010,2023-11-06,Milk 1L,Madhya Pradesh,WH-RAI,84.36552605095382,759.94
ORD10011,2022-01-26,Sunflower Oil 5L,Maharashtra,WH-BLR,54.0,309.21
ORD10012,12/02/24,Milk 1L,Maharashtra,WH-AHM,75.0,192.88
ORD10013,2022-10-11,Sunflower Oil 2L,Chhattisgarh,WH-IND,112.68260840671228,189.15
ORD10014,2023-04-14,Detergent 1kg,Madhya Pradesh,WH-RAI,52.0,678.37
ORD10015,2023-03-24,Coffee 200g,Chhattisgarh,WH-AHM,16.0,468.36
ORD10016,07/06/24,Peanut Butter Crunchy 200g,Gujarat,WH-MUM,76.0,240.51
ORD10017,2022-12-26,Milk 500ml,Madhya Pradesh,WH-JAI,136.2936168217736,352.86
ORD10018,2022-04-11,Milk 500ml,Chhattisgarh,WH-JAI,68.0,529.07
ORD10019,2024-01-22,Tea 250g,Maharashtra,WH-MUM,14.0,775.85
ORD10020,2024-04-13,Sunflower Oil 2L,Karnataka,WH-RAI,109.0,432.28
ORD10021,20/11/23,Peanut Butter Crunchy 1kg,Karnataka,WH-AHM,,704.98
ORD10022,2023-06-17,Sunflower Oil 5L,Chhattisgarh,WH-BLR,48.0,797.23
ORD10023,2022-08-01,Peanut Butter Crunchy 200g,Karnataka,WH-MUM,120.0,232.53
ORD10024,2023-08-13,Detergent 500g,Karnataka,WH-MUM,,47.24
ORD10025,2023-10-02,Milk 1L,Gujarat,WH-JAI,34.34116601598506,141.96
ORD10026,2023-06-11,Biscuits 200g,Karnataka,WH-MUM,47.0,89.78
ORD10027,2023-02-05,Milk 500ml,Madhya Pradesh,WH-JAI,1.0,53.44
ORD10028,2024-03-26,Coffee 200g,Karnataka,WH-DEL,91.0,240.74
ORD10029,2024-06-23,Tea 500g,Delhi,WH-AHM,47.0,52.54
ORD10030,29/05/23,Milk 500ml,Gujarat,WH-DEL,37.0,536.34
ORD10031,2024-01-25,Biscuits 100g,Chhattisgarh,WH-MUM,92.0,665.93
ORD10032,20/08/24,Sunflower Oil 2L,Delhi,WH-DEL,10.0,707.24
ORD10033,15/05/22,Sunflower Oil 5L,Gujarat,WH-IND,,171.52
ORD10034,2022-06-18,,Maharashtra,WH-RAI,1.0,238.63
ORD10035,2022-03-09,Coffee 200g,Maharashtra,WH-MUM,40.0,713.95
ORD10036,2023-02-14,Sunflower Oil 5L,Chhattisgarh,WH-AHM,23.0,331.43
ORD10037,2023-08-18,,Chhattisgarh,WH-AHM,103.0,780.2
ORD10038,2023-10-20,Milk 1L,Karnataka,WH-AHM,162.0394516287796,356.5
ORD10039,2022-04-11,Peanut Butter Smooth 1kg,Maharashtra,WH-MUM,50.0,762.3
ORD10040,2023-01-17,Biscuits 200g,Gujarat,WH-AHM,85.0,332.52
ORD10041,2024-07-01,Milk 1L,Madhya Pradesh,WH-IND,54.0,615.93
ORD10042,2023-09-10,Sunflower Oil 1L,Rajasthan,WH-BLR,77.0,697.13
ORD10043,2023-06-19,Sunflower Oil 5L,Gujarat,WH-MUM,37.0,776.27
ORD10044,28/06/24,Tea 500g,Madhya Pradesh,WH-JAI,8.0,210.05
ORD10045,22/01/23,Peanut Butter Smooth 200g,Gujarat,WH-DEL,5.0,451.63
ORD10046,2023-09-01,Detergent 500g,Madhya Pradesh,WH-IND,71.0,701.84
ORD10047,2024-02-26,Biscuits 200g,Madhya Pradesh,WH-DEL,127.0,173.71
ORD10048,2023-07-14,Milk 1L,Maharashtra,WH-DEL,68.0,215.16
ORD10049,06/01/24,Coffee 200g,Maharashtra,WH-IND,44.0,210.28
ORD10050,2023-05-11,Biscuits 500g,Madhya Pradesh,WH-AHM,117.0,495.17
ORD10051,2023-05-15,Tea 500g,Maharashtra,WH-IND,255.8857985707151,298.06
ORD10052,2023-12-24,Coffee 200g,Madhya Pradesh,WH-JAI,125.83362206808886,793.44
ORD10053,2022-09-20,Peanut Butter Crunchy 1kg,Maharashtra,WH-IND,67.0,35.37
ORD10054,2024-02-18,Tea 500g,Rajasthan,WH-DEL,56.0,540.0
ORD10055,2023-04-27,Detergent 1kg,Chhattisgarh,WH-JAI,50.0,527.28
ORD10056,2023-03-09,Biscuits 100g,Rajasthan,WH-RAI,16.0,203.33
ORD10057,2022-07-06,Sunflower Oil 2L,Rajasthan,WH-BLR,75.0,59.98
ORD10058,2023-04-11,Milk 1L,Chhattisgarh,WH-IND,57.0,580.19
ORD10059,2024-01-30,Peanut Butter Smooth 1kg,Karnataka,WH-BLR,95.0,689.62
ORD10060,08/12/23,Coffee 200g,Maharashtra,WH-DEL,91.07482580082907,165.7
ORD10061,2024-07-25,Peanut Butter Smooth 1kg,Chhattisgarh,WH-RAI,2.0,543.96
ORD10062,31/10/23,Milk 1L,Karnataka,WH-DEL,109.29561362529327,398.68
ORD10063,2023-03-14,Detergent 500g,Gujarat,WH-IND,110.0,644.12
ORD10064,2023-07-15,Milk 500ml,Gujarat,WH-AHM,,465.97
ORD10065,2023-06-24,Milk 1L,Madhya Pradesh,WH-IND,33.0,361.35
ORD10066,2024-07-08,Sunflower Oil 2L,Delhi,WH-RAI,24.0,509.75
ORD10067,2023-07-13,Detergent 500g,Delhi,WH-AHM,28.0,136.42
ORD10068,2022-10-12,Tea 250g,Rajasthan,WH-BLR,103.56632285726049,395.1
ORD10069,2022-11-11,Biscuits 100g,Rajasthan,WH-DEL,49.780015009126615,525.02
ORD10070,2023-04-07,Milk 1L,Chhattisgarh,WH-AHM,104.0,410.28
ORD10071,01/09/23,Milk 1L,Rajasthan,WH-AHM,51.0,572.01
ORD10072,2024-04-23,Sunflower Oil 2L,Madhya Pradesh,WH-JAI,,627.17
ORD10073,2024-08-18,Tea 500g,Chhattisgarh,WH-RAI,103.0,76.12
ORD10074,2023-03-18,Milk 500ml,Rajasthan,WH-IND,105.0,45.98
ORD10075,2023-02-24,Peanut Butter Smooth 1kg,Chhattisgarh,WH-AHM,53.0,640.31
ORD10076,2023-09-07,Milk 500ml,Karnataka,WH-DEL,69.0,210.59
ORD10077,2023-03-26,Peanut Butter Smooth 1kg,Chhattisgarh,WH-AHM,,75.37
ORD10078,2022-05-05,Coffee 200g,Karnataka,WH-JAI,54.0,742.79
ORD10079,2024-02-15,Peanut Butter Crunchy 500g,Gujarat,WH-BLR,6.0,707.06
ORD10080,2022-06-23,Biscuits 100g,Gujarat,WH-MUM,79.0,144.12
ORD10081,2024-02-29,Sunflower Oil 1L,Maharashtra,WH-DEL,86.0,325.75
ORD10082,24/07/24,Tea 500g,Karnataka,WH-IND,72.0,86.73
ORD10083,14/03/22,Milk 500ml,Karnataka,WH-BLR,32.0,470.33
ORD10084,2022-12-01,Sunflower Oil 2L,Delhi,WH-BLR,91.82942641748942,444.57
