InventoryID,WarehouseID,ProductID,CurrentStock,ReorderPoint,SafetyStock
INV000001,WH001,SKU0045,2166,926,72
INV000002,WH001,SKU0048,3763,649,113
INV000003,WH001,SKU0005,3100,180,332
INV000004,WH001,SKU0056,2401,949,371
INV000005,WH001,SKU0027,2962,691,148
INV000006,WH001,SKU0065,0,146,388
INV000007,WH001,SKU0074,1866,891,198
INV000008,WH001,SKU0011,653,975,169
INV000009,WH001,SKU0041,827,489,192
INV000010,WH001,SKU0108,3714,750,477
INV000011,WH001,SKU0019,2988,266,239
INV000012,WH001,SKU0063,2910,314,393
INV000013,WH001,SKU0012,2187,818,399
INV000014,WH001,SKU0037,584,723,375
INV000015,WH001,SKU0090,1401,646,423
INV000016,WH001,SKU0092,2005,267,286
INV000017,WH001,SKU0110,3108,376,377
INV000018,WH001,SKU0001,0,324,400
INV000019,WH001,SKU0089,2656,963,443
INV000020,WH001,SKU0105,458,334,470
INV000021,WH001,SKU0066,262,924,211
INV000022,WH001,SKU0046,3286,374,83
INV000023,WH001,SKU0032,1728,680,498
INV000024,WH001,SKU0071,2577,317,385
INV000025,WH001,SKU0043,4089,505,379
INV000026,WH001,SKU0013,3758,246,185
INV000027,WH001,SKU0016,1143,352,431
INV000028,WH001,SKU0115,4598,651,184
INV000029,WH001,SKU0077,4788,538,348
INV000030,WH001,SKU0098,3271,470,162
INV000031,WH001,SKU0025,1133,621,302
INV000032,WH001,SKU0079,744,873,74
INV000033,WH001,SKU0023,898,256,371
INV000034,WH001,SKU0097,1310,911,398
INV000035,WH001,SKU0057,3458,710,82
INV000036,WH001,SKU0111,3152,490,355
INV000037,WH001,SKU0031,0,641,178
INV000038,WH001,SKU0054,4532,981,55
INV000039,WH001,SKU0119,938,798,324
INV000040,WH001,SKU0010,2185,887,378
INV000041,WH001,SKU0034,2786,214,200
INV000042,WH001,SKU0026,3561,261,282
INV000043,WH001,SKU0070,26,839,498
INV000044,WH001,SKU0029,2157,612,440
INV000045,WH001,SKU0099,1463,619,104
INV000046,WH001,SKU0086,2444,961,377
INV000047,WH001,SKU0006,4158,723,151
INV000048,WH001,SKU0091,1252,482,440
INV000049,WH001,SKU0069,1323,652,448
INV000050,WH001,SKU0040,4344,100,356
INV000051,WH001,SKU0050,2655,600,59
INV000052,WH001,SKU0036,916,471,499
INV000053,WH001,SKU0017,2519,345,79
INV000054,WH001,SKU0067,0,999,340
INV000055,WH001,SKU0035,645,187,424
INV000056,WH001,SKU0114,3981,935,85
INV000057,WH001,SKU0008,4363,884,114
INV000058,WH001,SKU0044,1051,775,293
INV000059,WH001,SKU0073,4503,269,185
INV000060,WH001,SKU0068,4322,993,360
INV000061,WH001,SKU0084,3466,316,326
INV000062,WH001,SKU0028,1647,830,209
INV000063,WH001,SKU0020,3268,787,382
INV000064,WH001,SKU0096,3059,548,314
INV000065,WH001,SKU0101,3698,223,176
INV000066,WH001,SKU0009,1840,165,223
INV000067,WH001,SKU0014,172,702,333
INV000068,WH001,SKU0085,1885,702,162
INV000069,WH001,SKU0004,58,172,412
INV000070,WH001,SKU0018,482,334,84
INV000071,WH001,SKU0039,257,980,219
INV000072,WH001,SKU0118,580,626,171
INV000073,WH001,SKU0007,2281,785,298
INV000074,WH001,SKU0078,1755,652,117
INV000075,WH001,SKU0112,4677,690,292
INV000076,WH001,SKU0095,1990,903,292
INV000077,WH001,SKU0055,3334,294,98
INV000078,WH001,SKU0051,794,774,270
INV000079,WH001,SKU0081,2902,533,260
INV000080,WH001,SKU0047,3825,984,423
INV000081,WH001,SKU0082,443,789,384
INV000082,WH001,SKU0062,806,162,256
INV000083,WH001,SKU0117,2779,919,491
INV000084,WH001,SKU0080,895,354,148
INV000085,WH002,SKU0089,1558,649,279
INV000086,WH002,SKU0049,1148,532,143
INV000087,WH002,SKU0016,2281,573,177
INV000088,WH002,SKU0018,617,553,463
INV000089,WH002,SKU0050,4508,200,75
INV000090,WH002,SKU0081,4428,956,57
INV000091,WH002,SKU0098,764,871,484
INV000092,WH002,SKU0026,1936,270,258
INV000093,WH002,SKU0061,3978,592,159
INV000094,WH002,SKU0069,3285,160,134
INV000095,WH002,SKU0116,3104,102,249
INV000096,WH002,SKU0092,2172,902,451
INV000097,WH002,SKU0082,3727,392,266
INV000098,WH002,SKU0117,4552,777,417
INV000099,WH002,SKU0046,3986,258,147
INV000100,WH002,SKU0010,2430,322,79
INV000101,WH002,SKU0101,4744,853,327
INV000102,WH002,SKU0097,499,865,210
INV000103,WH002,SKU0019,468,151,349
INV000104,WH002,SKU0021,3905,614,486
INV000105,WH002,SKU0083,4350,261,79
