PurchaseOrderID,PODate,SupplierID,ProductID,Quantity,UnitCost,Status,ExpectedDeliveryDate
PO0000001,2024-02-20,SUP009,SKU0042,4889,13.83,Approved,2024-03-12
PO0000002,2023-12-03,SUP029,SKU0022,3917,368.87,Approved,2024-01-06
PO0000003,2025-01-03,SUP050,SKU0101,1800,479.64,Received,2025-01-22
PO0000004,2024-06-26,SUP008,SKU0091,840,182.45,Delayed,2024-07-23
PO0000005,2024-09-15,SUP046,SKU0106,430,459.47,Received,2024-10-26
PO0000006,2023-10-31,SUP006,SKU0099,2133,540.11,Received,2023-11-16
PO0000007,2025-11-17,SUP004,SKU0092,2548,140.74,Ordered,2025-11-27
PO0000008,2023-03-05,SUP026,SKU0114,3804,296.29,In Transit,2023-04-12
PO0000009,2024-05-26,SUP007,SKU0120,3885,220.13,Ordered,2024-06-08
PO0000010,2023-09-06,SUP001,SKU0036,605,453.27,Ordered,2023-09-20
PO0000011,2023-09-25,SUP013,SKU0012,3381,28.28,Delayed,2023-11-05
PO0000012,2023-06-22,SUP038,SKU0065,4901,303.2,Approved,2023-07-16
PO0000013,2023-02-14,SUP005,SKU0050,1719,583.22,Received,2023-03-30
PO0000014,2023-09-21,SUP006,SKU0087,2816,498.68,Received,2023-10-07
PO0000015,2023-04-14,SUP011,SKU0077,4801,310.11,Delayed,2023-04-20
PO0000016,2025-03-19,SUP032,SKU0113,341,471.95,Received,2025-04-30
PO0000017,2023-12-20,SUP023,SKU0005,1858,447.78,Received,2024-01-20
PO0000018,2024-07-27,SUP029,SKU0114,1317,265.74,In Transit,2024-08-30
PO0000019,2024-05-18,SUP042,SKU0066,2517,452.27,In Transit,2024-06-25
PO0000020,2025-09-08,SUP004,SKU0091,818,187.23,Ordered,2025-09-18
PO0000021,2025-05-08,SUP013,SKU0071,4407,137.5,In Transit,2025-06-18
PO0000022,2023-02-09,SUP025,SKU0072,3041,17.18,Received,2023-03-18
PO0000023,2024-12-05,SUP037,SKU0074,4215,431.04,Received,2024-12-10
PO0000024,2024-01-04,SUP002,SKU0005,2712,422.01,Approved,2024-02-15
PO0000025,2024-07-29,SUP004,SKU0096,3964,417.21,In Transit,2024-08-08
PO0000026,2024-04-21,SUP011,SKU0040,920,67.32,Ordered,2024-04-27
PO0000027,2024-06-29,SUP035,SKU0004,558,516.91,Ordered,2024-07-30
PO0000028,2025-03-06,SUP023,SKU0095,1523,179.47,In Transit,2025-04-06
PO0000029,2024-10-13,SUP048,SKU0071,3039,156.75,Approved,2024-11-07
PO0000030,2024-12-21,SUP037,SKU0119,4717,413.03,Ordered,2024-12-26
PO0000031,2025-10-05,SUP035,SKU0087,2631,504.4,Approved,2025-11-05
PO0000032,2023-07-04,SUP004,SKU0049,2005,316.94,Approved,2023-07-14
PO0000033,2025-12-14,SUP031,SKU0005,105,400.04,In Transit,2026-01-27
PO0000034,2024-02-17,SUP009,SKU0039,2891,54.04,Received,2024-03-09
PO0000035,2023-05-02,SUP002,SKU0017,1310,597.79,Ordered,2023-06-13
PO0000036,2023-08-16,SUP034,SKU0060,3089,419.62,Received,2023-09-05
PO0000037,2025-03-21,SUP038,SKU0102,927,455.38,Received,2025-04-14
PO0000038,2023-10-07,SUP011,SKU0037,3678,381.3,Received,2023-10-13
PO0000039,2024-10-11,SUP012,SKU0075,4703,571.66,In Transit,2024-11-02
PO0000040,2024-12-31,SUP015,SKU0055,4924,175.05,Received,2025-02-10
PO0000041,2024-09-20,SUP047,SKU0032,2512,385.25,Delayed,2024-10-03
PO0000042,2023-01-04,SUP045,SKU0040,4792,69.35,In Transit,2023-01-17
PO0000043,2023-03-08,SUP012,SKU0038,2706,230.62,In Transit,2023-03-30
PO0000044,2024-03-28,SUP041,SKU0037,4732,331.74,Received,2024-04-07
PO0000045,2023-10-16,SUP022,SKU0013,737,254.95,Received,2023-11-16
PO0000046,2023-12-10,SUP041,SKU0117,826,343.11,Delayed,2023-12-20
PO0000047,2024-11-18,SUP029,SKU0096,193,395.29,Ordered,2024-12-22
PO0000048,2023-05-19,SUP023,SKU0017,2202,621.34,Delayed,2023-06-19
PO0000049,2023-01-03,SUP004,SKU0044,3261,510.99,Received,2023-01-13
PO0000050,2023-12-07,SUP027,SKU0041,4139,527.3,Received,2023-12-16
PO0000051,2025-02-07,SUP007,SKU0029,4027,313.46,In Transit,2025-02-20
PO0000052,2024-04-06,SUP011,SKU0064,3796,83.2,Approved,2024-04-12
PO0000053,2024-08-26,SUP002,SKU0016,2710,206.61,Approved,2024-10-07
PO0000054,2023-06-01,SUP022,SKU0049,1493,334.72,Ordered,2023-07-02
PO0000055,2023-06-03,SUP036,SKU0114,862,283.51,In Transit,2023-06-30
PO0000056,2025-09-15,SUP046,SKU0062,353,262.69,Delayed,2025-10-26
PO0000057,2023-12-04,SUP039,SKU0059,3656,544.73,Approved,2023-12-24
PO0000058,2024-11-09,SUP014,SKU0062,1656,261.52,In Transit,2024-12-16
PO0000059,2024-06-27,SUP043,SKU0071,2406,138.89,Approved,2024-07-25
PO0000060,2023-04-12,SUP026,SKU0072,4783,17.42,Received,2023-05-20
PO0000061,2023-11-11,SUP004,SKU0016,3055,195.45,Approved,2023-11-21
PO0000062,2024-08-26,SUP043,SKU0010,4034,32.47,Approved,2024-09-23
PO0000063,2024-02-28,SUP011,SKU0087,2490,590.86,Received,2024-03-05
PO0000064,2023-08-25,SUP020,SKU0051,3356,302.98,Delayed,2023-09-22
PO0000065,2024-06-26,SUP006,SKU0066,4557,442.19,Received,2024-07-12
PO0000066,2025-02-20,SUP024,SKU0111,1628,331.28,Received,2025-03-01
PO0000067,2025-06-19,SUP030,SKU0113,2257,456.82,Received,2025-07-12
