OrderID,OrderDate,CustomerID,ProductID,SalesRepID,Quantity,UnitPrice,DiscountPercent,Region,Channel
SO000001,2025-03-31,CUST0362,SKU0082,EMP0070,97,640.86,10,North,Wholesale
SO000002,2025-07-13,CUST0266,SKU0010,EMP0013,94,661.64,7,East,General Trade
SO000003,2025-12-01,CUST0390,SKU0005,EMP0088,20,406.08,7,North,Wholesale
SO000004,2025-05-09,CUST0079,SKU0119,EMP0099,97,637.17,2,East,Modern Trade
SO000005,2025-09-22,CUST0142,SKU0029,EMP0047,104,461.59,3,South,General Trade
SO000006,2025-06-26,CUST0299,SKU0104,EMP0043,125,477.17,5,West,Wholesale
SO000007,2025-11-06,CUST0426,SKU0001,EMP0023,2,399.6,7,West,General Trade
SO000008,2025-03-13,CUST0316,SKU0037,EMP0097,113,80.79,2,North,Wholesale
SO000009,2025-04-28,CUST0348,SKU0026,EMP0021,20,538.03,7,South,Modern Trade
SO000010,2025-11-26,CUST0455,SKU0116,EMP0015,72,268.72,2,South,Modern Trade
SO000011,2025-03-18,CUST0265,SKU0099,EMP0003,48,253.1,2,East,Wholesale
SO000012,2025-07-05,CUST0486,SKU0065,EMP0031,155,763.35,10,East,Modern Trade
SO000013,2025-03-02,CUST0060,SKU0091,EMP0029,170,223.57,2,West,Modern Trade
SO000014,2025-08-01,CUST0108,SKU0078,EMP0069,85,704.05,10,East,General Trade
SO000015,2025-02-28,CUST0134,SKU0101,EMP0030,124,380.39,10,North,General Trade
SO000016,2025-09-03,CUST0248,SKU0093,EMP0095,123,620.71,2,South,Wholesale
SO000017,2025-10-30,CUST0385,SKU0119,EMP0039,42,637.17,10,East,General Trade
SO000018,2025-07-30,CUST0406,SKU0049,EMP0061,6,423.84,2,East,Modern Trade
SO000019,2025-01-23,CUST0456,SKU0024,EMP0075,33,604.85,7,West,General Trade
SO000020,2025-10-31,CUST0050,SKU0055,EMP0077,42,72.68,2,South,Wholesale
SO000021,2025-11-19,CUST0130,SKU0011,EMP0024,132,190.46,0,South,Wholesale
SO000022,2025-10-21,CUST0328,SKU0075,EMP0024,38,213.65,0,South,Modern Trade
SO000023,2025-03-27,CUST0323,SKU0086,EMP0017,67,778.6,2,East,Modern Trade
SO000024,2025-09-22,CUST0193,SKU0095,EMP0057,104,181.96,7,South,Wholesale
SO000025,2025-10-16,CUST0173,SKU0047,EMP0097,164,451.65,0,North,Wholesale
SO000026,2025-12-05,CUST0080,SKU0070,EMP0047,73,306.8,0,South,Modern Trade
SO000027,2025-04-21,CUST0317,SKU0001,EMP0093,115,399.6,7,North,Modern Trade
SO000028,2025-08-30,CUST0011,SKU0105,EMP0092,124,174.25,2,South,General Trade
SO000029,2025-04-23,CUST0475,SKU0102,EMP0029,106,68.1,7,West,Wholesale
SO000030,2025-03-15,CUST0183,SKU0022,EMP0075,150,130.89,2,West,Modern Trade
SO000031,2025-11-16,CUST0333,SKU0090,EMP0089,169,462.9,7,South,Wholesale
SO000032,2025-05-16,CUST0401,SKU0017,EMP0040,43,151.33,10,North,Wholesale
SO000033,2025-12-18,CUST0044,SKU0059,EMP0083,88,738.32,5,West,General Trade
SO000034,2025-11-02,CUST0247,SKU0106,EMP0055,152,680.87,0,West,Modern Trade
SO000035,2025-04-28,CUST0320,SKU0020,EMP0079,97,531.6,5,North,Wholesale
SO000036,2025-03-09,CUST0310,SKU0013,EMP0069,28,657.05,0,East,Wholesale
